country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Algeria,,2020-03-22,0.5533518090625064,6.008366766333861,15.0,0.2838897097105179,0.25,0.3986300483759891,5.0,0.001,2.374167831898849,97.50579156313162,45.71001417590074,0.6903664474275435
Greenland,,2021-07-28,1.5,-76.87554936931394,1.0,0.1736182716762508,0.2167248105889391,-0.2,0.3095148413289334,0.001,2.7907518588649345,0.852762294451314,3.4965767822425238,0.2626086721950973
Andorra,,2020-03-22,0.2965363406353177,-15.744795523594634,6.191350651783923,0.3329665646428892,0.2381392256218322,3.7870181350462313,3.8940570130017886,2.0645410532474773,3.4774923300099183,10.854170131670385,1.5893870545305042,0.5010020880090197
Georgia,,2020-03-30,0.1948417515650238,28.125033691696924,14.875487867850172,0.1293003553564088,0.1460967453955648,-0.1223833230009293,4.924124458692885,1.5881136476455422,4.997990021093752,46.98277882701075,1.8208576489925488,0.2
Haiti,,2020-05-07,0.3806393888790482,23.23687931713152,15.0,0.2474373666257027,0.0570899619039479,4.641920661592555,2.4461648345991707,2.977625289316461,4.99993801304062,153.11222056740235,56.867855433005786,0.259462509017071
Lesotho,,2020-07-09,0.2940973692461318,-151.52958957623378,8.52557596653706,0.02,0.0339613433156465,1.808539674088685,2.155264787142591,1.2474928200763729,1.244638540128703,0.0,53.66535208507086,0.4365387167936588
Japan,,2020-02-22,0.59422239095272,-112.30961531776852,6.781020328987836,0.4955295448287959,0.2495183948515656,3.2239867489521945,4.470383193827272,0.0010237661501453,4.955008422431134,130.07254340394945,60.75675752739176,0.5310117781692609
Comoros,,2020-06-13,0.2701367564319484,-96.3763672227442,2.7911866644322565,0.1659397403231955,0.2000127738928416,2.404857221851863,4.472863000124328,0.0012150686134054,4.9453111712311175,52.743649087225776,14.40296319410526,0.324698334385081
Italy,,2020-02-24,0.6852773966346121,18.26953243935418,2.1556648527470816,0.0200853675022868,0.0520963158016171,4.940970134861258,3.409250107200707,3.5363635801507605,0.9885541817292338,19.643540961358624,1.022360263620675,1.9261781171386076
Bosnia and Herzegovina,,2020-03-22,1.4999787194408607,-147.7575970741467,1.000290867578002,0.0536021244486758,0.25,0.9197868159223156,4.98980909879427,0.001,0.8336779904982379,159.70276511496763,75.2216135042841,0.8439130312874
Mauritius,,2020-03-29,0.1,-200.0,15.0,0.2259896303327387,0.1260640560202582,4.999977569869494,1.599901225414002,0.0844850702694717,2.282266254197729,293.81398977435447,14.29149686143028,1.5417842101855852
India,,2020-03-15,1.5,-186.01112655587056,14.039004845303973,0.284481637644028,0.25,1.853352818990404,2.5232189789676114,0.8576496105647744,0.6101171575968178,0.0,30.74650527722456,1.3882600161594498
South Korea,,2020-02-21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Moldova,,2020-03-24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Mali,,2020-04-12,0.7430291721959922,5.609616375177485,14.994734484200649,0.1087431828390105,0.0841116021705737,2.427079676223522,0.0227612733023742,1.5192341474145457,5.0,190.77437240499057,73.95831524891359,0.2333964092546974
Russia,,2020-03-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
